url,title,price,address,area,floor,year,metro_name,metro_time,house_type,_error
https://www.cian.ru/sale/flat/319304838/,"Продается 1-комн. квартира, 45 м²",28 242 810 ₽,"Москва, САО, р-н Аэропорт, Северный административный округ, Соул жилой комплекс, к5На карте",45 м²,23 из 29,,Сокол,15 мин.,Монолитный,
https://www.cian.ru/sale/flat/322536673/,"Продается 3-комн. квартира, 89 м²",32 500 000 ₽,"Москва, САО, р-н Аэропорт, ул. 4-я 8 Марта, 5На карте",89 м²,5 из 6,1936,Аэропорт,15 мин.,,
https://www.cian.ru/sale/flat/317597730/,"Продается 3-комн. квартира, 57 м²",19 800 000 ₽,"Москва, САО, р-н Аэропорт, Авиационный пер., 8На карте",57 м²,1 из 9,1965,Аэропорт,7 мин.,Кирпичный,
https://www.cian.ru/sale/flat/322528100/,"Продается 1-комн. квартира, 30,7 м²",14 800 000 ₽,"Москва, САО, р-н Аэропорт, ул. Асеева, 8На карте","30,7 м²",2 из 5,1962,Аэропорт,10 мин.,Кирпичный,
https://www.cian.ru/sale/flat/319304976/,"Продается 1-комн. квартира, 53,2 м²",28 908 986 ₽,"Москва, САО, р-н Аэропорт, Северный административный округ, Соул жилой комплексНа карте","53,2 м²",2 из 8,,Сокол,13 мин.,Монолитный,
https://www.cian.ru/sale/flat/322414648/,"Продается 3-комн. квартира, 95 м²",52 500 000 ₽,"Москва, САО, р-н Аэропорт, ул. Серегина, 3На карте",95 м²,3 из 16,1978,Динамо,11 мин.,Кирпичный,
https://www.cian.ru/sale/flat/320012798/,"Продается 3-комн. квартира, 99 м²",44 500 000 ₽,"Москва, САО, р-н Аэропорт, Кочновский проезд, 4к2На карте",99 м²,9 из 34,2008,Аэропорт,15 мин.,Монолитный,
https://www.cian.ru/sale/flat/319305102/,"Продается 1-комн. квартира, 47,8 м²",30 282 925 ₽,"Москва, САО, р-н Аэропорт, Северный административный округ, Соул жилой комплекс, к6На карте","47,8 м²",19 из 25,,Сокол,13 мин.,Монолитный,
https://www.cian.ru/sale/flat/323087006/,"Продается 2-комн. квартира, 55,2 м²",33 890 000 ₽,"Москва, САО, р-н Аэропорт, Планетная ул., 47к1На карте","55,2 м²",2 из 9,1974,Аэропорт,8 мин.,Кирпичный,
https://www.cian.ru/sale/flat/322466696/,"Продается 3-комн. квартира, 54,2 м²",19 000 000 ₽,"Москва, САО, р-н Аэропорт, Планетная ул., 4На карте","54,2 м²",2 из 5,,Динамо,14 мин.,Кирпичный,
https://www.cian.ru/sale/flat/322729496/,"Продается 2-комн. квартира, 47,9 м²",20 100 000 ₽,"Москва, САО, р-н Аэропорт, Северный административный округ, ул. 8 Марта, 13На карте","47,9 м²",9 из 9,1967,Аэропорт,17 мин.,Панельный,
https://www.cian.ru/sale/flat/317754808/,"Продается 2-комн. квартира, 83,3 м²",41 500 000 ₽,"Москва, САО, р-н Аэропорт, Часовая ул., 23к1На карте","83,3 м²",21 из 23,2008,Сокол,8 мин.,Монолитно-кирпичный,
https://www.cian.ru/sale/flat/322506473/,"Продается 2-комн. квартира, 69,6 м²",31 505 971 ₽,"Москва, САО, р-н Аэропорт, Часовая ул., 28к4На карте","69,6 м²",3 из 24,,Сокол,13 мин.,Монолитный,
